specimen_id,name,type,fake
1,brahma,whisky,a
2,caney,whisky,a
3,chimay,whisky,a
4,corona,whisky,a
5,deusventrue,whisky,a
6,duvel,whisky,a
7,franziskaner,whisky,a
8,grimbergen,whisky,a
9,guiness,whisky,a
10,hoegardeen,whisky,a
11,jupiler,whisky,b
12,kingfisher,whisky,b
13,latrappe,whisky,b
14,lindemanskriek,whisky,b
15,nicechouffe,whisky,b
16,pecheresse,whisky,b
17,sierranevada,whisky,b
18,tanglefoot,whisky,b
19,tauro,whisky,b
20,westmalle,whisky,b
21,amrut,beer,c
22,ballantines,beer,c
23,bushmills,beer,c
24,chivas,beer,c
25,dalmore,beer,c
26,famousgrouse,beer,c
27,glendronach,beer,c
28,glenmorangie,beer,c
29,highlandpark,beer,c
30,jackdaniels,beer,c
31,jb,beer,d
32,johnniewalker,beer,d
33,magallan,beer,d
34,makersmark,beer,d
35,oban,beer,d
36,oldpotrero,beer,d
37,redbreast,beer,d
38,tamdhu,beer,d
39,wildturkey,beer,d
40,yoichi,beer,d
