specimen_id,lmax,c,alpha,A,alphaB,kB,alpha_random,alphaB_random
1,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0605724767758617,2.5285125045637855
2,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.090911198628611,2.318855425498101
3,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0889570555337104,2.4171890081189713
4,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0745957669864924,2.506029639703253
5,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0989896731518809,2.2941877901472707
6,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0731962143808185,2.492090270783039
7,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0771202522014526,2.2871926340041644
8,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0839705179683506,2.280600296980387
9,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0730288898896039,2.431389184910858
10,0.4,0.65,0.08,1.0,2.443460952792061,0.2,0.0992432843123559,2.553002156124069
11,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0893020875293299,1.4096949768383356
12,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0763302228914343,1.2426036242480092
13,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.06050091312877,1.2997881516779797
14,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0872266084169846,1.5363346465154135
15,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0987973898383925,1.5486850140700288
16,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0767234186152389,1.280752575431666
17,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0936754794031155,1.5580393064326483
18,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0959109263944407,1.5666298703898014
19,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0782361821755921,1.387295027457287
20,0.4,0.65,0.08,1.0,1.3962634015954636,0.2,0.0956894368691827,1.44726973398843
21,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0828734910989189,0.3902047181962534
22,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.064030876034811,0.2663662169598795
23,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.089630452846286,0.3731676656770386
24,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0788603427051612,0.330520835235813
25,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0876725643299686,0.3181593584845137
26,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0889249051158275,0.305914322117531
27,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0771603122246369,0.3727065641767721
28,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0833549763152454,0.2680167625287369
29,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0836930069862501,0.4068054649878513
30,0.4,0.65,0.08,1.0,0.3490658503988659,0.2,0.0819461310357836,0.3117258117757755
31,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.1739965277920959,2.3261458386284346
32,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.178167976762953,2.367911841753785
33,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.166142845756283,2.497124233566102
34,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.142324255408829,2.521001270192465
35,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.1595441979693836,2.4924203406087
36,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.176739170020936,2.296785861002875
37,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.1704549956262264,2.3046951972069136
38,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.1487096727360276,2.478740011774389
39,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.1419028767804808,2.555286915969248
40,0.4,0.65,0.16,1.0,2.443460952792061,0.2,0.1713130846072789,2.610918436470477
41,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1765210706592176,1.2441286952466806
42,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1675329967744461,1.252522105349822
43,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.175096560249687,1.4381104930605042
44,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.146854818685128,1.5704277111052862
45,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1430053003354411,1.4220871860538409
46,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1745109640423191,1.4971437980528597
47,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1704958912268803,1.4702428173811408
48,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1512115459268145,1.2822641544853202
49,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1767790869382173,1.2578567354173535
50,0.4,0.65,0.16,1.0,1.3962634015954636,0.2,0.1579638155411581,1.5054754078502257
51,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1664664200672388,0.346455866070197
52,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1776354464451808,0.3867185518581145
53,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1557764045309815,0.4411911597883095
54,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1757873382449961,0.4074931407624935
55,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1468647956191588,0.5048606728771567
56,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.163440188009605,0.4453005659506557
57,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1602429613909778,0.3664755699836583
58,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1583352819853526,0.3543463451882895
59,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1483043659342404,0.2353569907034416
60,0.4,0.65,0.16,1.0,0.3490658503988659,0.2,0.1600538139000413,0.2068583794949498
