specimen_id,genus
1,AN
2,AN
3,AN
4,AN
5,AN
6,AN
7,AN
8,AN
9,AN
10,AN
11,AN
12,TO
13,WY
14,WY
15,WY
16,WY
17,UR
18,UR
19,UR
20,UR
21,CA
22,CA
23,CA
24,CA
25,CA
26,CA
27,CA
28,OR
29,MA
30,MA
31,MA
32,PS
33,PS
34,PS
35,PS
36,PS
37,PS
38,PS
39,PS
40,PS
41,PS
42,PS
43,PS
44,AE
45,AE
46,AE
47,AE
48,AE
49,AE
50,AE
51,AE
52,AE
53,AE
54,AE
55,AE
56,AE
57,AE
58,AE
59,AE
60,AE
61,AE
62,AE
63,AE
64,AE
65,AE
66,AE
67,AE
68,AE
69,AE
70,AE
71,AE
72,AE
73,AE
74,AE
75,AE
76,AE
77,AE
78,AE
79,AE
80,AE
81,AE
82,AE
83,AE
84,AE
85,AE
86,AE
87,AE
88,AE
89,AE
90,AE
91,AE
92,AE
93,AE
94,AE
95,AE
96,AE
97,AE
98,AE
99,AE
100,AE
101,CX
102,CX
103,CX
104,CX
105,CX
106,CX
107,CX
108,CX
109,CX
110,CX
111,CX
112,CX
113,CX
114,CX
115,CX
116,CX
117,CX
118,CX
119,CX
120,CX
121,CX
122,CX
123,CX
124,CX
125,CX
126,DE
